SKU,Articulo,Precio_Publico,Sucursal_Bodega,Stock_Actual
65012,"PARAGUAS DE 135 CM, TRUPER*",211.21,Almacen Uno                                                 ,39
49370,"CESPOL FLEXIBLE P/REFRIGERADO C/CONTRA 2 1/2, POLIPR, 1-1/2""",60.34,Almacen Uno                                                 ,39
49247,"REGADERA REDONDA 3-1/2"" BRAZO Y CHAPETON DE ACERO",133.62,Almacen Uno                                                 ,39
49076,"VALVULA CHECK DE LATN 1/2""",168.1,Almacen Uno                                                 ,39
47902,"PLACA ARMADA NEGRA CONTACTO DÚPLEX 3 MÓDULOS, LISBOA*",55.17,Almacen Uno                                                 ,39
47896,"PLACA ARMADA NEGRA 1 INTERRUPTOR DE TIMBRE 1.5 MÓD, LISBOA",36.21,Almacen Uno                                                 ,39
47904,"PLACA ARMADA NEGRA CONTACTO Y 2 PUERTOS USB 1.5 MÓD, LISBOA",133.62,Almacen Uno                                                 ,39
47843,PLACA ACERO 1 INTERRRUPTOR TIMBRE 1.5 LISBOA*,66.38,Almacen Uno                                                 ,39
LEVI0001,"CONTACTO FIJO 2F, 3H, 20A, 250V, L620R""",352.83,Almacen Uno                                                 ,39
LEVI0095,"CONTACTO FIJO 2F, 3H, 30A 125V, L530R""",336.29,Almacen Uno                                                 ,39
PARR0059,SOLDADURA EXOTERMICA PARRES C250,235.17,Almacen Uno                                                 ,39
QOP0212,SOBREPONER CUADRADA 20W PQ02-56/65*,180,Almacen Uno                                                 ,39
TAPO0003,"TAPON FS GALV 1""*",13.88,Almacen Uno                                                 ,39
HERR0100,"FLEJE DE ACERO INOXIDABLE 5/8""",25.28,Almacen Uno                                                 ,39
FUSE1014,FUSIBLE RK5 200A 600V TRS200R MERSEN,1650,Almacen Uno                                                 ,39
FUSE1036,FUSIBLE RKFS DOBLE FLSR-60ID,819,Almacen Uno                                                 ,39
TUFL0025,TUBO FLUORESCENTE 30W 4100K T8 1 PIN,49.35,Almacen Uno                                                 ,39
TUFL0022,TUBO FLUORESCENTE 28W 6500K T5,92.93,Almacen Uno                                                 ,39
UNNO0007,"N1330-BL CONTACTO DUPLEX 2P+T 2 USB 2.1 AMP""",472.4,Almacen Uno                                                 ,39
ZACC0015,"ZAPATA PONCH C/C 1B CAL. 1/0-1/2""*",43.05,Almacen Uno                                                 ,39
ZAME0005,ZAPATA MEC BR CAL 250-800 MCM*,511.71,Almacen Uno                                                 ,39
TOCC0011,TOPE CAÑON CORTO CAL. 250*,117.36,Almacen Uno                                                 ,39
CTBI0012,CONECTOR BIPARTIDO BIM CAL 350,0,Almacen Uno                                                 ,39
POLI0006,"POLIDUCTO NARANJA 2""",33.38,Almacen Uno                                                 ,39
S00448,LUMINARIA TSLR-310 REJILLA,1094.1,Almacen Uno                                                 ,39
COLB0005,"CONDULET LB 1 1/2""""",238.65,Almacen Uno                                                 ,39
COLL0004,"CONDULET LL 1 1/4""""",228.98,Almacen Uno                                                 ,39
BAMA0002,"BASE PARA MASTIL 1""",36.12,Almacen Uno                                                 ,39
BAMA0004,"BASE PARA MASTIL 1 1/2""",39.73,Almacen Uno                                                 ,39
MUF0006,"MUFA 2""",114.47,Almacen Uno                                                 ,39
CTZA0021,"CONECTOR ZAPA CURVO 2""*",137.19,Almacen Uno                                                 ,39
COSR0005,"COPLE CON TORNILLO 1 1/2""*",37.71,Almacen Uno                                                 ,39
CTLI0024,"CONECT CURVO LICUTITE 4""*",0,Almacen Uno                                                 ,39
3M1110,TAPON AUDITIVO COLOR NARANJA,10.6,Almacen Uno                                                 ,39
27172,"PINTURA EN AEROSOL, NEGRO MATE, 400 ML, PRETUL",42.24,Almacen Uno                                                 ,38
11914,"CILINDRO DE GAS PROPILENO DE 400 G, AMARILLO, TRUPER",193.97,Almacen Uno                                                 ,36
23660,"CERRADURA TIPO ESFERA, TUBULAR, RECÁMARA, CROMO, BASIC",133.62,Almacen Uno                                                 ,36
22016,"JUEGO DE 6 LLAVES COMBINADAS STD, PRETUL",168.1,Almacen Uno                                                 ,36
22017,"JUEGO DE 6 LLAVES COMBINADAS MM, PRETUL",168.1,Almacen Uno                                                 ,36
123110,"ESPATULA TAP ALT CA MGO BIM 10"" UREA",121.2,Almacen Uno                                                 ,33
123112,"ESPATULA ALTA MANGO BIM 12""",126,Almacen Uno                                                 ,33
EDB14015,INTERRUPTOR P/ NF 1X15A*,756,Almacen Uno                                                 ,32
17752,GUIA DE ACERO DE  30 M PARA CABLE,668.1,Almacen Uno                                                 ,30
22700,"PINZA DE PRESION 10"" MORDAZA CURVA PRETUL*",111.21,Almacen Uno                                                 ,30
100126,"DISCO DE LIJA 4 1/2"" CON RESPALDO DE FIBRA",14.66,Almacen Uno                                                 ,29
48000,"EXTENSIÓN ELÉCTRICA DOMÉSTICA 2 M CLAVIJA PLANA, BLANCA*",32.76,Almacen Uno                                                 ,29
QO2100BNRB,CENTRO DE CARGA 2 CIRCUITOS 100A N-3R,1319.2,Almacen Uno                                                 ,29
WEG0003,ARRANC 3F .75-1HP 220V 2.8-4AMP 10046366*,1417.5,Almacen Uno                                                 ,28
102243,DESARMADOR DIELECTRICO PLANO 1/4*6*,75,Almacen Uno                                                 ,28
44199,50 TAQUETES DE PLASTICO 1/4 FIERO,20.69,Almacen Uno                                                 ,28
101553,"BROCA ESCALONADA TITANIO 12 ESCALONES 3/16' A 7/8', EXPERT",590.52,Almacen Uno                                                 ,27
QO612L100S,CENTRO DE CARGA 6 CIRCUITOS 100A SOBREPONER,0,Almacen Uno                                                 ,27
19792,MANGUERA 1/2 SUPER REFORZADA 4 CAPAS 20M,334.92,Almacen Uno                                                 ,27
S0053INDIV,FOCO LED A19 65K 9W 100-265 PK INDIVIDUAL,9.4875,Almacen Uno                                                 ,26
47761,PERFIL MONOCANAL PERFORADO 3M 4X2 CAL 16,231.465,Almacen Uno                                                 ,26
43444,BLISTER CON 2 CANDADOS DE LATON 40MM GANCHO LARGO,245.69,Almacen Uno                                                 ,26
12129,PISTOLA P/PINTAR GRAVVEDAD HVLP VASO PLASTICO 1.7MM,530.17,Almacen Uno                                                 ,26
BTIC0006,TAPA 2 VENTANA Q100RN,52.68,Almacen Uno                                                 ,26
QO816L100F,CENTRO DE CARGA 8 CIRCUITOS 100A EMPOTRABLE,0,Almacen Uno                                                 ,26
QO130L200,CENTRO DE CARGA 1F 30  CIRCUITOS,7485,Almacen Uno                                                 ,26
MEGA0044,PANEL LED  12W SOBREPONER PCL12F*,253.18,Almacen Uno                                                 ,26
QO312L125S,CENTRO DE CARGA 3F 12 CIRCUITOS 125A SOBREPONER,4365,Almacen Uno                                                 ,26
AUBE0047,LUMINARIA SOB CUADRADA 18W 6500K*,201.92,Almacen Uno                                                 ,26
MEGA0080,PANEL 60X60 40W SLIM MULTIVOLTAJE*,780.89,Almacen de Mercancia en Consignacion                        ,26
TECN0065,PANEL LED 36W 60X60 4100°K 85-265V MLPAH60X60*,651,Almacen Uno                                                 ,26
S00422,LAMPARA APH 2X20 CON TUBOS DE VIDRIO,498.45,Almacen Uno                                                 ,26
CAIT0027IN,CAJA FS 2X4 3/4 3H 53240,64.5,Almacen Uno                                                 ,26
THBR0005,"TORNILLO HEXAGONAL BRONCE SILICIO 1/2 X 2""*",29.63,Almacen Uno                                                 ,26
COOP0004,TAPA INTERPERIE SENCILLA*,39.57,Almacen Uno                                                 ,26
RAWE0002,TAPA ALUMINIO CONTACTO 35.3MM TR-0414 2T*,65.73,Almacen Uno                                                 ,26
CAFS0013,CAJA FS 4X4 3/4 5H EATON**,498,Almacen Uno                                                 ,26
EATO0006,PLACA NARANJA P/CONT DUPLEX TIERRA AISLADA IG5132RN*,93,Almacen Uno                                                 ,26
QOP0201,"CABLE 4 PZ PQ10-SOPORTE PARA PANEL 60X60""",89.25,Almacen Uno                                                 ,26
QOC33L100F,CENTRO DE CARGA 3 CIRCUITOS 3F 100A*,1066.42,Almacen Uno                                                 ,26
QOC33L100S,CENTRO DE CARGA 3 CIRCUITO 3 F 100A S*,392.37,Almacen Uno                                                 ,26
CHUMA0001,"CHUMACERA DE PISO 1""*",69,Almacen Uno                                                 ,26
WEG0008,ARRANC 3F 5HP 220V 11-17AMP 10046370*,1358.26,Almacen Uno                                                 ,26
QOP0952D,REGLETA T5 120CM DIFUSOR 20W 6500QOP,147,Almacen Uno                                                 ,26
QO24L70S,CENTRO DE CARGA 2 CIRCUITOS 70A SOBREPONER,870,Almacen Uno                                                 ,26
49259,"REGADERA 3"" 5 FUNCIONES BRAZO Y CHAPETON DE ACERO",211.21,Almacen Uno                                                 ,26
45065,REGADERA CUADRADA 3-3/4 BRAZO Y CHAPETON DE ACERO,142.24,Almacen Uno                                                 ,26
17544,"CABLES PASA CORRIENTE 3.5 M, 350 A, 6 AWG, CON FUNDA, EXPERT",342.675,Almacen Uno                                                 ,26
P61600,11W PAR30 DIM FL 2700K GREENLITE,240,Almacen Uno                                                 ,26
CAIT0027,CAJA FS 2X4 3/4 3H 53240,64.5,Almacen Uno                                                 ,26
COT0002,"CONDULET OT 3/4""",82.55,Almacen Uno                                                 ,26
GE0020,PANEL LED 40W 60X120 4000*K BL2X4G240W840MV,1985.55,Almacen Uno                                                 ,26
CHAR0089,"VE-18R08901A CURVA VERTICAL EXTERIOR 18"" RADIO 8",535.49,Almacen Uno                                                 ,26
49903,ASIENTO REDONDO C/TAPA P/WC ABIERTO BLANCO FOSET,257.325,Almacen Uno                                                 ,26
FUSE0005,FUSIBLE NO RENOVABLE 250V 30AMP NLN-30,54.915,Almacen Uno                                                 ,26
10452382,REELE SOBRECARGA 22-32A*,0,Almacen Uno                                                 ,26
10045635,REELE SOBRECARGA 55-70A*,0,Almacen Uno                                                 ,26
WEG0028,ARRANC 3F 10HP 440V 10-15AMP 10186086*,1531.1,Almacen Uno                                                 ,26
WEG0029,ARRANC 3F 15HP 440V 15-23AMP 10072623*,2193.75,Almacen Uno                                                 ,26
11339663,ITM 3X16 DWB160N16-3DX*,2614,Almacen Uno                                                 ,26
14729,"BROCASIERRA BIMETÁLICA 4-1/2', TRUPER EXPERT*",383.62,Almacen Uno                                                 ,26
46719,"MULTICONTACTO 14 AWG, 6 ENTRADAS SUP. DE PICOS 600 J, NEGRO*",211.21,Almacen Uno                                                 ,26
10459053,CONTACTO AUX BCXMR11*,0,Almacen Uno                                                 ,26
10045715,CONTACTO AUX LATERAL BCXML11*,0,Almacen Uno                                                 ,26
101683,"ROLLO DE 9 M X 2' DE CINTA REFLEJANTE DE PVC, TRUPER*",431.03,Almacen Uno                                                 ,26
QOP0200,MARCO PLASTICO PARA PANEL 60X60*,280,Almacen de Mercancia en Consignacion                        ,26
LEVI0032,CLAVIJA PATA DE GALLO 3P3H 30/50A 250V N L10-50P,193.815,Almacen Uno                                                 ,26
FOLLAJE,FOLLAJE ARTIFICIAL,1227.165,Almacen Uno                                                 ,26
19072,"PINTURA AEROSOL, NARANJA 400ML*",68.1,Almacen Uno                                                 ,26
SURT0010,DESTORNILLADOR AZUL DE CAJA 1/4*,71,Almacen Uno                                                 ,26
EDB14020,INTERRUPTOR P/NF 1X20A*,756,Almacen Uno                                                 ,26
EGB14020,INTERRUPTOR P/NF 1x20A*,936,Almacen Uno                                                 ,26
FA100RB,GABINETE N3R MARCO F 100A*,4117.5,Almacen Uno                                                 ,26
FAL36070,INTERRUPTOR FAL 3F 70A*,5560.5,Almacen Uno                                                 ,26
KAL36250,INTERRUPTOR KAL 3F 250A 600V,15139.5,Almacen Uno                                                 ,26
JDL36250,INTERRUPTOR JDL 3F 250A*,25808.5,Almacen Uno                                                 ,26
J250FMX,GABINETE TIPO EMPOTRAR MARCO J 250A*,4501.5,Almacen Uno                                                 ,26
J250SMX,GABINETE TIPO SOBREPONER MARCO J 250A*,4501.5,Almacen Uno                                                 ,26
QO360,INTERRUPTOR QO 3X60A*,2177.24,Almacen Uno                                                 ,26
QOB370,ITM ATORNILLABLE 3X70,2904.3,Almacen Uno                                                 ,26
EDB24030,INTERRUPTOR P/NF 2F 30A*,1819.5,Almacen Uno                                                 ,26
COCR0004,"COPLE CON ROSCA 1 1/4""*",46.11,Almacen Uno                                                 ,26
CDSR0008,"CODO SIN ROSCA  3""*",974.48,Almacen Uno                                                 ,26
TOHE0020,"TORNILLO CAB HEXA3/8"" X 1 1/2""*",4.07,Almacen Uno                                                 ,26
TUZA0003,"TUBO ZAPA 3/8""",24.06,Almacen Uno                                                 ,26
22502,"PALA REDONDA, PUÑO D, MANGO 28-1/21*",154.31,Almacen Uno                                                 ,26
22966,JUEGO DE 3 PINZAS 3 MANGO COMFORT GRIP*,245.69,Almacen Uno                                                 ,26
23020,"LETRERO DE PISO RESBALOSO, 62CM*",219.83,Almacen Uno                                                 ,26
22235,RODILLERAS ULTRALIGERAS DE ESPUMA,87.93,Almacen Uno                                                 ,26
21251,"JUEGO DE 8 HERRAMIENTAS CASERAS PARA DAMA, PRETUL",426.72,Almacen Uno                                                 ,26
44970,GRILLETE DE ACERO FORJADO 7/16*,53.45,Almacen Uno                                                 ,26
44972,GRILLETE DE ACERO FORJADO 5/8 FIERO*,116.38,Almacen Uno                                                 ,26
17916,BOTAS INDUSTRIALES TRUPER,231.9,Almacen Uno                                                 ,26
19588,PORTA TALADRO DE POLIESTER 6 COMPARTIMIENTOS,245.69,Almacen Uno                                                 ,26
19710,"MARTILLO 16OZ UÑA CURVA, MANGO FIBRA DE VIDRIO*",168.1,Almacen Uno                                                 ,26
18531,"TIJERA DE AVIACION 10"" CORTE RECTO*",241.14,Almacen Uno                                                 ,26
19014,MANGUERA COMPRESOR 1/4 PVC 10MTS TRUPER*,237.07,Almacen Uno                                                 ,26
20533,CAJA PARA HERRAMIENTA 19CM3 PRETUL*,168.1,Almacen Uno                                                 ,26
20645,"PALA ESCARRAMAN, MANGO MADERA PUÑO Y*",154.31,Almacen Uno                                                 ,26
15143,LAMPARA LED 280 LM DE TALLER RECARGABLE*,280.17,Almacen Uno                                                 ,26
14623,CAUTIN 100W TIPO LAPIZ PARA TRABAJO PESADO*,262.93,Almacen Uno                                                 ,26
14286,GUANTES LIGEROS DE PIEL DE CABRA*,128.45,Almacen Uno                                                 ,26
10567,CASCO DE SEGURIDAD BLANCO ALA COMPLETA*,133.62,Almacen Uno                                                 ,26
11506,"CAJA PARA HERRAMIENTA23"" IND, BROCHES METALICO*",469.83,Almacen Uno                                                 ,26
103108,"JUEGO DE DADOS MM Y STD CON MATRACA, CUADRO 1/4""*",547.41,Almacen Uno                                                 ,26
62080,PARASOL PLEGABLE 135CM PARA AUTO*,107.76,Almacen Uno                                                 ,26
103025,"ESTUCHE CON 50 PUNTAS DE CEUZ PH2 DE IMPACTO LARGO 2""*",456.03,Almacen Uno                                                 ,26
EATO0084,"CLAVIJA MEDIA VUELTA 2P, 3H, 20A, 250V, L620P""",90.47,Almacen Uno                                                 ,26
EATO0107,"CLAVIJA MEDIA VUELTA 3F, 4H, 20A, 250V,  L1420P""",345.94,Almacen Uno                                                 ,26
47963,PLACA BLANCA 1 INTERRRUPTOR TIMBRE 1.5 LISBOA,36.21,Almacen Uno                                                 ,26
49136,"MANGUERA PIGTAIL,ACERO INOX 7/16"" X 7/8""*",137.07,Almacen Uno                                                 ,26
49278,"MEZCLADORA 4"" PARA LAVABO, NARIZ LARGA, MANERALES PALANCA*",469.83,Almacen Uno                                                 ,26
49342,"JUEGO DE ACCESORIOS PARA WC, 2"" CON FLOTADOR FOSET*",142.24,Almacen Uno                                                 ,26
PHIL0031,SERIE NAVIDEÑA LED COLORES 7.7MTS*,96.55,Almacen Uno                                                 ,26
ORBI0011,TAPA INTERPERIE CONTACTO REDONDO 40MM 2B 1CP020*,133.88,Almacen Uno                                                 ,26
ORBI0020,TAPA CIEGA PLATEADA ORBIT 1BC*,23.25,Almacen Uno                                                 ,26
FOAH0011,FOCO AHORADOR ESPIRAL 80W 6500K E26 PLUSRITE,258.3,Almacen Uno                                                 ,26
EATO0023,"CONTACTO FIJO 4F, 5H, 30A 120/208V, L2130R""",1335.51,Almacen Uno                                                 ,26
SURT0008,"CLAVIJA CHINA METAL 2P, 3H, 15A, 127V""",20.4,Almacen Uno                                                 ,26
EATO0010,PLACA P/CONT DUPLEX ACERO INOX 93101BOX1*,48.16,Almacen Uno                                                 ,26
LEVI0026,PLACA DOS CONTACTOS DUPLEX CUADRADA DECORA 80409W*,28.14,Almacen Uno                                                 ,26
BOOM0002,REFLECTOR BCO 20W 6500K 100-240V BOOMER*,233.82,Almacen Uno                                                 ,26
BOOM0001,REFLECTOR BCO 10W 6500K 100-240V BOOMER*,159.62,Almacen Uno                                                 ,26
COSR0007,"COPLE CON TORNILLO 2 1/2""*",112.38,Almacen Uno                                                 ,26
CTWP0007,"CONECTOR WP 2 1/2""*",263.3,Almacen Uno                                                 ,26
MUF0005,"MUFA 1 1/2""",59.97,Almacen Uno                                                 ,26
BAMA0003,"BASE PARA MASTIL 1 1/4""",38.31,Almacen Uno                                                 ,26
ARAN0007,"ARANDELA GALV PLANA 3/4""*",4.11,Almacen Uno                                                 ,26
TOBR0009,"TORNILLO BRONCE AL SILICIO 1/2"" X 2""",80.57,Almacen Uno                                                 ,26
VATI0001,"VARILLA DE TIERRA 5/8"" 3MTS S/PROTOCOLO*",297.68,Almacen Uno                                                 ,26
ZAME0004,ZAPATA MEC BR CAL4.0/500 MCM*,284.1,Almacen Uno                                                 ,26
ZACL0076,"ZAPATA PONCH C/L 2B CAL. 4/0-3/8""*",177.09,Almacen Uno                                                 ,26
ZABI0010,"ZAPATA BIMETALICA 1B CAL. 4/0-3/8""",114.18,Almacen Uno                                                 ,26
ZACC0025,"ZAPATA PONCH C/C 1B CAL. 250-1/2""*",89.25,Almacen Uno                                                 ,26
ESTE0026,CENTRO DE CARGA EQD-8E*,859.95,Almacen Uno                                                 ,26
TIER0003,ELECTRODOPARA TIERRA FISICA 1MTS,2925,Almacen Uno                                                 ,26
CRC0012,LIMPIADOR DE CONTACTOS 82130*,169.05,Almacen Uno                                                 ,26
FKSNEO0001,MANGUERA LED 25M (VERDE) CONTROLADOR Y PIN*,1034.49,Almacen Uno                                                 ,26
FKSNEO0002,MANGUERA LED 25M (AZUL) CONTROLADOR Y PIN*,1034.49,Almacen Uno                                                 ,26
FKSNEO0003,MANGUERA LED 25M (ROJO) CONTROLADOR Y PIN*,1034.49,Almacen Uno                                                 ,26
FKSNEO0004,MANGUERA LED 25M (DORADO) CONTROLADOR Y PIN*,1034.49,Almacen Uno                                                 ,26
1806,LENTE DE SEGURIDAD 3M,48.71,Almacen Uno                                                 ,26
SF058,KIT RONDANA 32MM SPUD,49.06,Almacen Uno                                                 ,26
46316INDII,BATRIAL AAA,11.5,Almacen Uno                                                 ,26
44430,PIJA PARA LAMINA #12 1-1/2 CAJA CON 100PZ,125.43,Almacen Uno                                                 ,26
QO112L125S,CENTRO DE CARGA 12 CIRCUITOS 1F 125A SOBREPONER,2560,Almacen Uno                                                 ,26
TGSR0003,"TUB GALV SIN ROSCA 1""*",234.48,Almacen Uno                                                 ,25
QO270,INTERRUPTOR QO 2X70A,1730.5,Almacen Uno                                                 ,25
BACE0063,CAMPANA LED HIGHBAY 240W,2074.5,Almacen Uno                                                 ,24
47196,"CENTRO DE CARGA EMPOTRABLE, 4 POLOS, VOLTECK",219.83,Almacen Uno                                                 ,24
47197,"CENTRO DE CARGA DE SOBREPONER, 4 POLOS, VOLTECK",219.83,Almacen Uno                                                 ,24
47194,"CENTRO DE CARGA EMPOTRABLE, 2 POLOS, VOLTECK",93.97,Almacen Uno                                                 ,24
12979,"DISCO DE DIAMANTE DE 4' X 2.2 MM, RIN TURBO, TRUPER",142.24,Almacen Uno                                                 ,24
20508,JUEGO DE 4 CANDADOS CUERPO LAMINADO*,357.76,Almacen Uno                                                 ,23
CAPV0002,"CAJA CUADRADA PVC 4""X4"" CON TAPA",21.3,Almacen Uno                                                 ,21
TECN0005,REFLECTOR IINTERIOR SUSP/SOBREP100W100-277V10000LM 100UFOLED,1612.5,Almacen Uno                                                 ,20
11630,"LIJA DE AGUA GRANO 600 DE CARBURO DE SILICIO, TRUPER",9.48,Almacen de Mercancia en Consignacion                        ,20
12134,"DISCO 4-1/2' MULTIMATERIAL DE CARBURO DE TUNGSTENO, TRUPER",142.24,Almacen Uno                                                 ,20
LEVI0086,"CONTACTO DUPLEX 20A MARFIL LEVITON CONTACTO DUPLEX 2P, 3H, 2",87.27,Almacen Uno                                                 ,20
SIME0120,ARRANCADOR 120VCA 2.8-4AMP .75-1HP 440V A7B10000002556,3055.5,Almacen Uno                                                 ,20
L6340130,LUNA FLAT RD 18 STD 100-305VBFP FIJO 60K BC MAGG,669.96,Almacen Uno                                                 ,19
CAFS0004,CAJA FSC 1/2,97.5,Almacen Uno                                                 ,16
TOBR0019,"TORNILLO BRONCE AL SILICIO 1/4 X 1/2""*",24.735,Almacen de Mercancia en Consignacion                        ,15
EATO0001,"CONTACTO DUPLEX GFI 2P, 3H, 15A, 125V MGF15W""",244.935,Almacen Uno                                                 ,15
ARBR0003,"ARANDELA PLANA BRONCE  AL SILICIO 1/4""*",8.235,Almacen de Mercancia en Consignacion                        ,15
ARBR0004,"ARANDELA PRESION BR AL SILICIO 1/4""*",3.615,Almacen de Mercancia en Consignacion                        ,15
TUBR0006,"TUERCA BRONCE  AL SILICIO 1/4""*",8.235,Almacen de Mercancia en Consignacion                        ,15
UNNO0001,"N1370BL PLACA BCA CIEGA""",44,Almacen Uno                                                 ,14
45497,ASIENTO ALARGADO WC ONE PIECE CIERRE LENTO BLANCO,316.815,Almacen Uno                                                 ,14
100815,JUEGO DE 4 BROCASIERRA BIMETALICA Y 1 MANDRIL EXPERT,133.5,Almacen Uno                                                 ,14
L6340130,LUNA FLAT RD 18 STD 100-305VBFP FIJO 60K BC MAGG,669.96,Almacen de Mercancia en Consignacion                        ,14
4EMLED2H20,LAMAPA DE EMERGIA TECNOLITE 200 LUMENES,291,Almacen Uno                                                 ,13
16746,ESCALERA CONVERTIBLE TIPO II 13 ESCALONES,4350,Almacen Uno                                                 ,13
100417,"CARRETILLA 6FTT3 IMPONCHABLE, BASATIDOR TUBULAR",2475,Almacen Uno                                                 ,13
55252,RACK PARA CARRETILLA TRUPER,577,Almacen Uno                                                 ,13
56385,RACK PARA ESCALERA,3825,Almacen Uno                                                 ,13
10338,ESCALERA TIPO TIJERA II PELDAÑOS Y BANDEJA,3450,Almacen Uno                                                 ,13
16095,"KIT COMPRESOR LUB, 50L, MANGUERA Y PISTOLA GRAV,127V, TRUPER",4870.69,Almacen de Mercancia en Consignacion                        ,13
10404,"MULTÍMETRO PARA MANTENIMIENTO INDUSTRIAL CON GANCHO, TRUPER",556.03,Almacen Uno                                                 ,13
43426,BLÍSTER CON 2 CANDADOS DE LATÓN DE 25MM CON GANCHO CORTO,111.21,Almacen Uno                                                 ,13
49433,"REGADERA 3"" CON EXTENSION TIPO TELEFONO 5 FUNCIONES",564.66,Almacen Uno                                                 ,13
102219,"BROCA PARA METAL HSS 9/16""",306.03,Almacen Uno                                                 ,13
BLOQ0001,BLOQUE REPARTIDOR 1 ENTRADA (3/0) 6 SALIDAS 1/0-8) UD6C500AL,1744.5,Almacen Uno                                                 ,13
GU10065WC,GU10 6.5W 100-240V LUZ CALIDA,59.25,Almacen Uno                                                 ,13
SIME0060,ITM BL 3P 15A 240V B315 SIMENS,1510.5,Almacen Uno                                                 ,13
CEME0003,PEGAMENTO PVC 1/8,117.615,Almacen Uno                                                 ,13
MEGA0085A,CONTROL SW GSW40 ESW12*,161.2,Almacen de Mercancia en Consignacion                        ,13
COSR0009,"COPLE CON TORNILLO 3 1/2""*",233.63,Almacen Uno                                                 ,13
ARAC0009,"ARANDELA ACERO INOXIDABLE PRESION 5/8""*",3.29,Almacen Uno                                                 ,13
ZACC0006,TERM OJO SIN AISLAR C/CORTO CAL. 2/0-1/2*,29.76,Almacen Uno                                                 ,13
ZACC0003,ZAPATA C/C 1B  CAL 1/0 5/16*,26.92,Almacen Uno                                                 ,13
CTVCL40,CONECTOR VCL 4/0*,46.82,Almacen Uno                                                 ,13
QOC312L125,CENTRO DE CARGA 12 CIRCUITOS 3 F 125A,4746.93,Almacen Uno                                                 ,13
TAFS0100,TAPA PARA LLUVIA,173.67,Almacen Uno                                                 ,13
QOB240,ITM ATORNILLABLE 2X40,840.74,Almacen Uno                                                 ,13
NC32S,FRENTE SOBREPONER 20 ANCHO PARA TABLERO NF/NQ NC32S,4091.7,Almacen Uno                                                 ,13
MILB0003,BASE DE MEDICION 7X100 MILBANK,2847.55,Almacen Uno                                                 ,13
MILB0002,BASE DE MEDICION 5X200 MILBANK,1236.46,Almacen Uno                                                 ,13
100225,"ESCALERA DE TIJERA. TIPO II, 5 PELDAÑOS, FIBRA DE VIDRIO",3050,Almacen Uno                                                 ,13
SIME0008,ARRANCADOR 2HP 220V 5HP 440V  A7B10000002569,4221,Almacen Uno                                                 ,13
YD330B,EMPOTRADO DIRIGIBLE BLANCO,76.61625,Almacen Uno                                                 ,13
LEVI0027,TAPA CLASICA 4X4 BLANCA 88016*,0,Almacen Uno                                                 ,13
EATO0024,CONTACTO DUPLEX 2P 3H 15A 125V 270W,13,Almacen Uno                                                 ,13
45041,CANALETA 20X10 C/ADHESIVO 2.MTS*,37.93,Almacen Uno                                                 ,13
CTGL0004,"CONECT GLANDULA PLASTICO 1 1/2""**",25.2,Almacen Uno                                                 ,13
QO330L200F,CENTRO DE CARGA 3F 30 CIRCUITOS 200A EMPOTRABLE,8245.05,Almacen Uno                                                 ,13
QOP0011,"EMPOTRADO 14W 6"" 6500*",130.22,Almacen Uno                                                 ,13
QOD4S,CENTRO DE CARGA 4 CIRCUITOS  SOBREPONER 60AMP,489.09,Almacen Uno                                                 ,13
MOBI0001,MOBILIARIO DE OFICINA,153450,Almacen Uno                                                 ,13
101398,CAUTIN 48W PROFESIONAL PARA ELECTRONICA CON ESTACION,659.48,Almacen Uno                                                 ,13
CMEX048,CABLE THW-LS CAL 400  NEGRO,794.70915,Almacen Uno                                                 ,13
10638732,BANCO DE CAPACITORES 480V-40K VAR*,5303.63,Almacen Uno                                                 ,13
46719,"MULTICONTACTO 14 AWG, 6 ENTRADAS SUP. DE PICOS 600 J, NEGRO*",211.21,Almacen de Mercancia en Consignacion                        ,13
101449,ROLLO 18 M DE CINTA ANTIDERRAPANTE AMA/NEGRA 50MM C/ABRASIVO,443.97,Almacen Uno                                                 ,13
48012,"EXTENSIÓN ELÉCTRICA DOMÉSTICA 4 M CLAVIJA PLANA, BLANCA*",50.86,Almacen Uno                                                 ,13
11339700,ITM PARA CAJA MOLDEADA DE 63A*,0,Almacen Uno                                                 ,13
WEG0009,ARRANC 3F 7.5HP 220V 15-23AMP 10045781*,2199.75,Almacen Uno                                                 ,13
WEG0022,ARRANC 3F .75HP 440V 1.2-1.8AMP 10072616,1881.75,Almacen Uno                                                 ,13
WEG0023,ARRANCADOR  3F 1.5HP 440V 1.8-2.8AMP 10072617*,1881.75,Almacen Uno                                                 ,13
WEG0024,ARRANCADOR  3F 2HP 440V 2.84 AMP 10072618*,1881.75,Almacen Uno                                                 ,13
WEG0007,ARRANC 3F 4HP 220V 8-12.5AMP 10410257*,1966.5,Almacen Uno                                                 ,13
WEG0025,ARRANC 3F 3HP 440V 4-6.3AMP 10072619*,1851.75,Almacen Uno                                                 ,13
WEG0026,ARRANC 3F 4-5HP 440V 5.6-8AMP 10072620*,1881.75,Almacen Uno                                                 ,13
WEG0027,ARRANC 3F 7.5HP 440V 8-12.5AMP 10072621,2100,Almacen Uno                                                 ,13
TEY340,INTERRUPTOR 3X40 AMP 480V G.E. TEY131*,9905.63,Almacen Uno                                                 ,13
