SKU,Articulo,Precio_Publico,Sucursal_Bodega,Stock_Actual
CINE0021,CINCHO NEGRO PARA EXTERIOR 30X30MM BESTEN,2.6,Almacen Uno                                                 ,3156
CTGL0001,"CONECT GLANDULA PLASTICO 1/2""",7.5,Almacen Uno                                                 ,3134
FULM0014,"CLAVO HILTY CON ARANDELA 1/4""*",3,Almacen Uno                                                 ,3107
PIPB0040,"PIJA P. BROCA ESTRELLA CAB RED 8 X 1 1/2""*",0.75,Almacen Uno                                                 ,3036
CAPU0010,"CAPUCHON AZUL/GRIS CONECTOR DE RESORTE""",7.65,Almacen Uno                                                 ,3029
CCON0009,CABLE THW-LS CAL 12 NEGRO*,17.55,Almacen Uno                                                 ,3018
TGSR0002IN,"TUB GALV SIN ROSCA 3/4""*",133.58,Almacen Uno                                                 ,2912
CTSR0002IN,"CONECTOR CON TORNILLO 3/4""*",10.64,Almacen Uno                                                 ,2886
ARAN0004,"ARANDELA GALV PLANA 3/8""",0.38,Almacen Uno                                                 ,2754
CAPU0005,"CAPUCHON ROJO CAL 8-6""",1.86,Almacen Uno                                                 ,2704
CINE0009,"CINC NEGRO ACN 300-4 22KG 12""",1.52,Almacen Uno                                                 ,2648
TAQU0095,TAQUETE TABLAROCA METAL C/T TQZ 6 T,2.94,Almacen Uno                                                 ,2600
CACO0009,CABLE CONTROL /INST 3X12  600V,75.98,Almacen Uno                                                 ,2600
CMEX009,CABLE  CONDUMEX THW-LS CAL 10 NEGRO*,24.72,Almacen Uno                                                 ,2600
TURE0003,"TUERCA RESORTE 3/8""",13.62,Almacen Uno                                                 ,2483
CCON0012,CABLE THW-LS CAL 12 VERDE*,17.55,Almacen Uno                                                 ,2462
ABPE0002,"ABRAZADERA TIPO PERA 3/4""*",8.32,Almacen Uno                                                 ,2457
TUHE0005,"TUERCA HEXAGONAL 5/8""*",3.87,Almacen Uno                                                 ,2288
ABOM0001,"AB OMEGA 1/2""*",3.64,Almacen Uno                                                 ,2106
TURE0001,"TUERCA RESORTE 1/4""",9.48,Almacen Uno                                                 ,2093
ARAC0007,ARANDELA ACERO INOXIDABLE PRESION 1/4*,3.65,Almacen Uno                                                 ,2080
44241,"BOLSA C/5 ABRAZADERAS SIN FIN REFORZADAS #32,1-9/16 - 2-1/2*",68.1,Almacen Uno                                                 ,2080
MONI0006,"MONITOR 2""*",28.19,Almacen Uno                                                 ,2003
ARAN0001,ARANDELA PRESION 1/4,0.18,Almacen Uno                                                 ,2002
TOHE0018,"TORNILLO CAB HEXA 3/8"" X 1""*",3.23,Almacen Uno                                                 ,1976
TAQU0074,"TAQUETE GARRA AG 3/8""",0.31,Almacen Uno                                                 ,1976
TGSR0002,"TUB GALV SIN ROSCA 3/4""*",133.58,Almacen Uno                                                 ,1959
ROND0002,RONDANA CUADRADA DE 3/8 CHAROFIL*,32.6,Almacen Uno                                                 ,1950
TAQU0094,TAQUETE TABLAROCA METAL C/T TQZ 8 T,5.21,Almacen Uno                                                 ,1950
PIJA0026,"PIJA GOTA DE AGUA 14 X 2""*",1.73,Almacen Uno                                                 ,1937
COHE0001,"COPLE HEXAGONAL 1/4""",3.71,Almacen Uno                                                 ,1937
TOHE0027,"TORNILLO CAB HEXA 1/2"" X 1 1/2""*",7.11,Almacen Uno                                                 ,1924
PIPB0009,"PIJA P. BROCA CAB HEXA 8 X 3/4""*",0.44,Almacen Uno                                                 ,1885
CCON0021,CABLE THW-LS CAL 6 NEGRO*,71.64,Almacen Uno                                                 ,1871
PIPB0039,"PIJA P. BROCA ESTRELLA CAB RED 8 X 1""*",0.3,Almacen Uno                                                 ,1833
CCUR0022IN,CABLE USO RUDO 3X12,57.42,Almacen Uno                                                 ,1794
MONI0003,"MONITOR 1""*",8.45,Almacen Uno                                                 ,1705
ABUR0005,"ABRAZADERA U 1/4"" P/TUBO DE 1 1/2""**",6.9,Almacen Uno                                                 ,1690
CTUR0001,"CONECTOR USO RUDO 1/2""*",6.71,Almacen Uno                                                 ,1680
TAQU0085,"TAQUETE MARIPOSA 1/8""",3.61,Almacen Uno                                                 ,1625
MG51111EZ,CLIP RECTO AUTOMATICO*,61.86,Almacen Uno                                                 ,1625
CONT0007,"CONTRATUERCA 2 1/2""*",23.96,Almacen Uno                                                 ,1586
COSR0002,"COPLE CON TORNILLO 3/4""*",8.37,Almacen Uno                                                 ,1534
CTSR0002,"CONECTOR CON TORNILLO 3/4""*",10.64,Almacen Uno                                                 ,1508
CAIT0001,"TAPA OCTAGONAL 4""*",5.02,Almacen Uno                                                 ,1508
CACO0013,CABLE CONTROL /INST 4X12  600V,99.72,Almacen Uno                                                 ,1469
PIPB0026,"PIJA P. BROCA CAB HEXA 1/4"" X 2""*",4.79,Almacen Uno                                                 ,1469
46508,"BOLSA 2 PZ PORTALÁMPARAS P/TUBO LED Y FLUORESCENTE, BASE G13",20.69,Almacen Uno                                                 ,1464
PIPB0054,"PIJA P. BROCA SELLO CAB HEXA 1/4"" X 1 1/2""*",2.58,Almacen Uno                                                 ,1443
ABUN0004,"AB UNICANAL 1 1/4""*",12.84,Almacen Uno                                                 ,1443
QO115,INTERRUPTOR QO 1X15A*,215.5,Almacen Uno                                                 ,1430
MONI0005,"MONITOR 1 1/2""*",18.96,Almacen Uno                                                 ,1378
COSR0002IN,"COPLE CON TORNILLO 3/4""*",8.37,Almacen Uno                                                 ,1365
TOBR0010,"TORNILLO BRONCE AL SILICIO 1/2"" X 2 1/2""",120.32,Almacen Uno                                                 ,1326
MONI0004,"MONITOR 1 1/4""*",18.32,Almacen Uno                                                 ,1314
ABUÑ0003,"AB UÑA 1""*",4.45,Almacen Uno                                                 ,1313
PIJA0007,"PIJA GOTA AGUA 8 X 2 1/2""*",0.765,Almacen Uno                                                 ,1313
CCON0009,CABLE THW-LS CAL 12 NEGRO*,17.55,Almacen de Mercancia en Consignacion                        ,1300
CCON0010,CABLE THW-LS CAL 12 BLANCO*,17.55,Almacen de Mercancia en Consignacion                        ,1300
CMEX011,CABLE CONDUMEX THW-LS CAL 10 ROJO*,24.72,Almacen Uno                                                 ,1300
CMEX003,CABLE  CONDUMEX THW-LS CAL 14 VERDE*,10.92,Almacen Uno                                                 ,1300
CMEX015,CABLE  CONDUMEX THW-LS CAL 8 ROJO,39.68,Almacen Uno                                                 ,1300
BACI0002,"BASE PARA CINCHO 1 1/4"" X 1 1/4""",3.34,Almacen Uno                                                 ,1300
CCUR0022,CABLE USO RUDO 3X12,57.42,Almacen de Mercancia en Consignacion                        ,1300
COHE0004,"COPLE HEXAGONAL 1/2""",10.32,Almacen Uno                                                 ,1300
COWP0001,"COPLE WP 1/2""*",14.57,Almacen Uno                                                 ,1300
CINE0020,CINCHO NEGRO PARA EXTERIOR 4.8X380MM BESTEN,1.26,Almacen Uno                                                 ,1300
POLI0002,"POLIDUCTO NARANJA 3/4""",7.55,Almacen Uno                                                 ,1300
TOAZ0001,TOPE AZUL CAL 16-14*,1.19,Almacen Uno                                                 ,1300
46967,TAQUETE MARIPOSA 1/8 X 2 FIERO,4.05,Almacen Uno                                                 ,1300
46968,"TAQUETE MARIPOSA 3/16X3"" FIERO*",5.25,Almacen Uno                                                 ,1300
12520,"CINTA SELLA ROSCAS 1/2"" X7M DE LARGO, USO GENERAL.",5.43,Almacen Uno                                                 ,1300
ZAPU0005,TERM PUNTA PHOENIX  CAL 10-12 AMARILLA*,4.21,Almacen Uno                                                 ,1287
BTIC00004,TAPA 1 VENTANA MARFIL Q100RN/1I,54.616,Almacen Uno                                                 ,1287
TUZA0002,"TUBO ZAPA 3/4""",48.38,Almacen Uno                                                 ,1274
46331INAC,TAPA 4*4 PARA CAJA OCTAGONAL*,6.9,Almacen Uno                                                 ,1274
ABUÑ0004,"AB UÑA 1 1/4""*",7.74,Almacen Uno                                                 ,1274
ABPE0003,"ABRAZADERA TIPO PERA 1""*",9.35,Almacen Uno                                                 ,1248
COPV0001,"COPLE PVC T. PESADO 1/2""*",2.15,Almacen Uno                                                 ,1248
46320INAC,"CAJA TIPO CHALUPA 2x 4"" REFORZADA*",12.07,Almacen Uno                                                 ,1235
TOHE0028,"TORNILLO CAB HEXA 1/2"" X 2""*",9.62,Almacen Uno                                                 ,1222
ABUÑ0005,"AB UÑA 1 1/2""*",9.03,Almacen Uno                                                 ,1209
11625,"LIJA DE AGUA GRANO 280 DE CARBURO DE SILICIO, TRUPER",9.48,Almacen Uno                                                 ,1200
11628,"LIJA DE AGUA GRANO 400 DE CARBURO DE SILICIO, TRUPER",9.48,Almacen Uno                                                 ,1200
11630,"LIJA DE AGUA GRANO 600 DE CARBURO DE SILICIO, TRUPER",9.48,Almacen Uno                                                 ,1180
TUHE0004,"TUERCA HEXAGONAL 1/2""*",1.61,Almacen Uno                                                 ,1170
TERM12,TERMOCONTRACTIL TERMOFIL 600V 1/2 RISER,10.35,Almacen Uno                                                 ,1170
TORO0001,TOPE ROJO CAL 18-22*,1.11,Almacen Uno                                                 ,1170
CAIT0004,"CAJA OCTAGONAL 4"" ECONOMICA*",24.97,Almacen Uno                                                 ,1170
TAQU0015,"TAQUETE BARRENANCLA ADI 1/4""",2.97,Almacen Uno                                                 ,1170
CTPV0002,"CONECTOR PVC T. PESADO 3/4""*",4.07,Almacen Uno                                                 ,1168
CCON0019,CABLE THW-LS CAL 8 ROJO*,36.68,Almacen Uno                                                 ,1157
ARAN0016,ARANDELA CUADRADA DE 3/4,24,Almacen Uno                                                 ,1157
MG51402,SUSPENSION CENTRAL A TECHO TIPO AS2/5724*,24.34,Almacen Uno                                                 ,1144
TERM38,TERMOCONTRACTIL TERMOFIL 600V 3/8 RISER,8.25,Almacen Uno                                                 ,1144
CACO0012,CABLE CONTROL /INST 4X10  600V,152.36,Almacen Uno                                                 ,1131
UNNO0004,"N1373BL PLACA BCA 3 MODULOS""",44,Almacen Uno                                                 ,1105
MONI0002,"MONITOR 3/4""*",5.04,Almacen Uno                                                 ,1103
CAPU0004,CAPUCHON AMRILLO ROJO 3M,3.51,Almacen Uno                                                 ,1100
COPV0002,"COPLE PVC T. PESADO 3/4""*",2.91,Almacen Uno                                                 ,1092
HS02Z,REMATE CUADRADO PARA UNICANAL  4X4 POLIETILENO*,12.72,Almacen Uno                                                 ,1092
ABUN0003,"AB UNICANAL 1""*",10.32,Almacen Uno                                                 ,1075
CONT0005,"CONTRATUERCA 1 1/2""*",9.05,Almacen Uno                                                 ,1066
TPVC0003,"TUBO PVC T. PESADO 1""*",12.53,Almacen Uno                                                 ,1066
ABCL0003,ABRAZADERA CLIP 1*,8.58,Almacen Uno                                                 ,1060
QO120,INTERRUPTOR QO 1X20A*,215.5,Almacen Uno                                                 ,1055
ABUÑ0002,AB UÑA 3/4,4.14,Almacen Uno                                                 ,1050
46331,TAPA 4*4 PARA CAJA OCTAGONAL*,6.9,Almacen Uno                                                 ,1048
CTSR0001,"CONECTOR CON TORNILLO 1/2""*",8.06,Almacen Uno                                                 ,1046
ARAN0006,"ARANDELA  DE  PRESION 1/2""",3.75,Almacen Uno                                                 ,1040
TOHE0024,"TORNILLO CAB HEXA 3/8"" X 4""*",8.19,Almacen Uno                                                 ,1040
CDPV0009,"CODO PVC T. PESADO 4""",133.49,Almacen Uno                                                 ,1027
ARAC0006,"ARANDELA ACERO INOXIDABLE PRESION 1/2""*",2.68,Almacen Uno                                                 ,1027
ARBR0004,"ARANDELA PRESION BR AL SILICIO 1/4""*",3.615,Almacen Uno                                                 ,1001
48275,GRAPA CURVA 12MM BLANCA C/20PZA,11.64,Almacen Uno                                                 ,1000
48283,GRAPA CURVA 12MM NEGRA C/20PZ,11.67,Almacen Uno                                                 ,1000
ZAAM0005,"ZAPATA ANILLO AMARILLO CAL 12-10 1/2""*",2.85,Almacen Uno                                                 ,988
40241,PLACA DE ABS DUPLEX STANDAR BLANCA,9.48,Almacen Uno                                                 ,979
ZAAM0004,"ZAPATA ANILLO AMARILLO CAL 12-10 3/8""*",3.14,Almacen Uno                                                 ,962
QO130,INTERRUPTOR QO 1X30A,215.5,Almacen Uno                                                 ,957
3M0001,CINTA TEMFLEX 1600 3M NEGRA,27.09,Almacen Uno                                                 ,955
PAND0025,CINTA AUTO-VULCANIZABLE E8000*,124.14,Almacen Uno                                                 ,936
ABOM0004,"AB OMEGA 1 1/4""*",10.06,Almacen Uno                                                 ,936
13911,"FELPA PARA MINI RODILLO POLIESTER 4""*",12.07,Almacen de Mercancia en Consignacion                        ,936
